Method,Time (ms),Color
Standard Index TF-IDF,38.74,#2F292C
Standard Index BM25,38.06,#636569
Standard Index DirichletLM,62.58,#404A56
Doc2Query-- Index TF-IDF,49.72,#58827E
Doc2Query-- Index BM25,38.66,#80C97C
Doc2Query-- Index DirichletLM,41.2,#A9E45B
Deep Impact,106.5,#E7E08B
